depth.ft,p1,p2,p3
7638,0,0,1
7647.5,1,1,1
7651.5,0,0,0
7656.25,0,1,1
7668.25,0,0,1
7670.75,0,0,0
7681.75,1,1,1
7688.25,0,1,1
7698.5,0,0,1
7704,0,0,0
7715.75,1,1,1
7720.5,0,1,1
7728.75,0,0,1
7737,0,0,0
7745,0,0,0
7749.75,1,1,1
7752.75,0,1,1
7759,0,0,1
7770.25,0,0,0
7776.25,0,0,0
7783.75,1,1,1
7789,0,0,1
7803.25,0,0,0
7807.25,0,0,0
7818,1,1,1
7836.5,0,0,0
7838.5,0,0,0
7849.25,0,1,1
7852,1,1,1
7869.75,0,0,0
7879.25,0,0,1
7881.25,0,1,1
7886,1,1,1
7902.75,0,0,0
7909.25,0,0,1
7913.5,0,1,1
7920.25,1,1,1
7932,0,0,0
7936,0,0,0
7939.5,0,0,1
7945.5,0,1,1
7954.25,1,1,1
7963.25,0,0,0
7969.5,0,0,1
7977.75,0,1,1
7988.5,1,1,1
7994.25,0,0,0
7999.75,0,0,1
8002.25,0,0,0
8010,0,1,1
8022.75,1,1,1
8025.5,0,0,0
8030,0,0,1
8035.25,0,0,0
8042,0,1,1
8056.75,1,1,1
8060,0,0,1
8068.25,0,0,0
8074.25,0,1,1
8087.75,0,0,0
8091,1,1,1
8101.5,0,0,0
8106.5,0,1,1
8120.25,0,0,1
8125.25,1,1,1
8134.75,0,0,0
8138.5,0,1,1
8150.5,0,0,1
8159.25,1,1,1
8167.75,0,0,0
8170.75,0,1,1
8180.75,0,0,1
8193.5,1,1,1
8203,0,1,1
8210.75,0,0,1
8227.5,1,1,1
8235,0,1,1
8241,0,0,1
8243.5,0,0,0
8261.75,1,1,1
8267.25,0,1,1
8271.25,0,0,1
8274.5,0,0,0
8295.75,1,1,1
8299.25,0,1,1
8305.75,0,0,0
8329.75,1,1,1
8333.5,0,0,0
8336.75,0,0,0
8361.5,0,0,1
8364,1,1,1
8366.75,0,0,0
8391.75,0,0,1
8395.75,0,1,1
8398,1,1,1
8421.75,0,0,1
8427.75,0,1,1
8430.25,0,0,0
8432.25,1,1,1
8451.75,0,0,1
8460,0,1,1
8466.5,1,1,1
8482,0,0,1
8492.25,0,1,1
8500.5,1,1,1
8512.25,0,0,1
8524.5,0,1,1
8534.5,1,1,1
8542.25,0,0,1
8556.5,0,1,1
8565.75,0,0,0
8568.75,1,1,1
8572.25,0,0,1
8585.75,0,0,0
8588.75,0,1,1
8598.75,0,0,0
8602.75,1,1,1
8617,0,0,0
8620.75,0,1,1
8632.5,0,0,1
8636.75,1,1,1
8648,0,0,0
8653,0,1,1
8662.75,0,0,1
8665.25,0,0,0
8671,1,1,1
8679,0,0,0
8685,0,1,1
8692.75,0,0,1
8698.25,0,0,0
8705,1,1,1
8710.25,0,0,0
8717.25,0,1,1
8723,0,0,1
8731.25,0,0,0
8739,1,1,1
8741.5,0,0,0
8749.25,0,1,1
8753,0,0,1
8764.5,0,0,0
8773.25,1,1,1
8781.25,0,1,1
8797.5,0,0,0
8803.75,0,0,0
8807.5,1,1,1
8813.5,0,1,1
8830.75,0,0,0
8834.75,0,0,0
8841.5,1,1,1
8845.75,0,1,1
